"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"lik[46,2,12]",0.996509947857969,0.00580135907456041,0.980322060823419,0.995976185945711,0.998566313830763,0.99958224707323,0.999979352291197,1.00113969568027,5621,0,1
"lik[47,2,12]",0.996745848682433,0.00581869715110449,0.981016701601302,0.996478293296635,0.998704174995332,0.999555351967058,0.999953899559594,1.00247502056346,9024,0,1
"lik[48,2,12]",0.998169647524747,0.00782041065159789,0.984709370183407,0.999188138537925,0.999852205996925,0.999974643334914,0.999999335344809,1.0052013405394,9959,0,1
"lik[49,2,12]",0.997829853177925,0.00897610430728904,0.98241942291817,0.998973669413418,0.999798974105841,0.999962614046789,0.999998873939645,1.00811053645607,9900,0,1
"lik[50,2,12]",0.997644656965807,0.00665465662456408,0.982800654744355,0.99819555432865,0.999521055250374,0.999880185791839,0.999993468891156,1.00794741242361,10347,0,1
"lik[1,3,12]",0.0402299438658695,0.0266491154251931,0.00510920441266487,0.0204556681080112,0.0347466330770062,0.0541605817667863,0.106147887347965,1.00035897345527,5518,0,1
"lik[2,3,12]",0.915973644770486,0.049826798425297,0.79260428548208,0.889624863459586,0.925922902227803,0.952798869693557,0.983142570503652,1.00040306479999,5951,0,1
"lik[3,3,12]",0.915973644770486,0.049826798425297,0.79260428548208,0.889624863459586,0.925922902227803,0.952798869693557,0.983142570503652,1.00040306479999,5951,0,1
"lik[4,3,12]",0.915973644770486,0.049826798425297,0.79260428548208,0.889624863459586,0.925922902227803,0.952798869693557,0.983142570503652,1.00040306479999,5951,0,1
"lik[5,3,12]",0.915973644770486,0.049826798425297,0.79260428548208,0.889624863459586,0.925922902227803,0.952798869693557,0.983142570503652,1.00040306479999,5951,0,1
"lik[6,3,12]",0.915973644770486,0.049826798425297,0.79260428548208,0.889624863459586,0.925922902227803,0.952798869693557,0.983142570503652,1.00040306479999,5951,0,1
"lik[7,3,12]",0.915973644770486,0.049826798425297,0.79260428548208,0.889624863459586,0.925922902227803,0.952798869693557,0.983142570503652,1.00040306479999,5951,0,1
"lik[8,3,12]",0.938139760896994,0.054066906884813,0.798153779431885,0.915066094700032,0.952701457686467,0.976993187754432,0.996049313861492,1.00010369003161,15192,0,1
"lik[9,3,12]",0.921642874732069,0.0470237992859962,0.804984124460677,0.897157696441899,0.93127089511018,0.956194135829921,0.984412985611778,1.0005089133584,5497,0,1
"lik[10,3,12]",0.915973644770486,0.049826798425297,0.79260428548208,0.889624863459586,0.925922902227803,0.952798869693557,0.983142570503652,1.00040306479999,5951,0,1
"lik[11,3,12]",0.9906089287879,0.0123062531673683,0.956865237583417,0.987790257232301,0.994837277979373,0.998239347546044,0.999873683197668,1.00039837247198,23781,0,1
"lik[12,3,12]",0.915973644770486,0.049826798425297,0.79260428548208,0.889624863459586,0.925922902227803,0.952798869693557,0.983142570503652,1.00040306479999,5951,0,1
"lik[13,3,12]",0.950866255669432,0.0289674607199923,0.878805408091851,0.935937780160872,0.956839349328606,0.971937970450514,0.989438296450442,1.00054866733151,4485,0,1
"lik[14,3,12]",0.915973644770486,0.049826798425297,0.79260428548208,0.889624863459586,0.925922902227803,0.952798869693557,0.983142570503652,1.00040306479999,5951,0,1
"lik[15,3,12]",0.915973644770486,0.049826798425297,0.79260428548208,0.889624863459586,0.925922902227803,0.952798869693557,0.983142570503652,1.00040306479999,5951,0,1
"lik[16,3,12]",0.915973644770486,0.049826798425297,0.79260428548208,0.889624863459586,0.925922902227803,0.952798869693557,0.983142570503652,1.00040306479999,5951,0,1
"lik[17,3,12]",0.915549154481245,0.0493812480436376,0.794042502911615,0.88922243432544,0.925219688235702,0.952058313412683,0.982527224222129,1.00044568147203,5672,0,1
"lik[18,3,12]",0.0409199401625051,0.0279309948439028,0.0057252813792241,0.0209673357040343,0.0348381396764411,0.0543005359624023,0.110919338369158,1.00038855651239,5522,0,1
"lik[19,3,12]",0.915973644770486,0.049826798425297,0.79260428548208,0.889624863459586,0.925922902227803,0.952798869693557,0.983142570503652,1.00040306479999,5951,0,1
"lik[20,3,12]",0.915973644770486,0.049826798425297,0.79260428548208,0.889624863459586,0.925922902227803,0.952798869693557,0.983142570503652,1.00040306479999,5951,0,1
"lik[21,3,12]",0.993928686565306,0.00786254783443323,0.971924705667775,0.992412051592935,0.996620213194418,0.998573069590036,0.99977232576404,1.00053728780676,8232,0,1
"lik[22,3,12]",0.983121042067504,0.0135382678071043,0.946713348722358,0.977790356110512,0.986835574839908,0.992529193962489,0.997801735655224,1.00036059275168,5616,0,1
"lik[23,3,12]",0.962531516343536,0.0234648645903555,0.90386987624335,0.95114616745486,0.967741365776636,0.979552378450706,0.992483667804442,1.00048909641585,4666,0,1
"lik[24,3,12]",0.934720638471558,0.0432171738600479,0.827044069815688,0.913468669026044,0.944441135107362,0.965864512685939,0.989167197352684,1.00033529343313,6257,0,1
"lik[25,3,12]",0.935384292291042,0.0380056218599753,0.841083333545962,0.915339599189696,0.942843862425061,0.963320830319531,0.986684059101699,1.00047033787015,5100,0,1
"lik[26,3,12]",0.975235385414152,0.0172851183752607,0.930454709073408,0.96762671228647,0.979492453940732,0.987571251948521,0.995801987806128,1.00043927158226,4953,0,1
"lik[27,3,12]",0.995686724703098,0.00694741461463105,0.976338322418673,0.995019088007769,0.998096307528778,0.999313088914226,0.999923614727618,1.00172900644049,8968,0,1
"lik[28,3,12]",0.989469140312547,0.0103083207938249,0.961007279261367,0.986244602521352,0.992690702926643,0.996281455029195,0.999126335142858,1.00030875689499,6673,0,1
"lik[29,3,12]",0.989098947579336,0.0105045746560171,0.960110000184807,0.985747154109727,0.992352204749269,0.996067540727603,0.999062661844326,1.00030973679975,6586,0,1
"lik[30,3,12]",0.990082725133973,0.0106928719724744,0.960999080877754,0.987128392166977,0.993502200320902,0.996893982521535,0.99943372038399,1.00072200272027,7353,0,1
"lik[31,3,12]",0.995243459637116,0.00715513372192749,0.975230698574611,0.994345166364418,0.997726016537189,0.999141727480417,0.99989336834142,1.00116792853793,8808,0,1
"lik[32,3,12]",0.988382823707614,0.0107135080708431,0.959267910752202,0.984789948772861,0.991631530369714,0.995549440036738,0.998898845342951,1.00048584200052,5508,0,1
"lik[33,3,12]",0.99693453784519,0.0066395166923889,0.980072846334584,0.997042276048077,0.999094655089813,0.999737503197114,0.999982019791738,1.00674583530917,8506,0,1
"lik[34,3,12]",0.915973644770486,0.049826798425297,0.79260428548208,0.889624863459586,0.925922902227803,0.952798869693557,0.983142570503652,1.00040306479999,5951,0,1
"lik[35,3,12]",0.983558912690351,0.0131782743962686,0.948522609194015,0.978480570402081,0.987155318189354,0.992685992426843,0.997842372100981,1.00044368421349,5128,0,1
"lik[36,3,12]",0.997110953736024,0.00594986030440171,0.981652201275066,0.997110679420376,0.999054826692525,0.999718486330993,0.999979353496125,1.00115737738689,12545,0,1
"lik[37,3,12]",0.994030708382814,0.00780618929731787,0.972155799768712,0.99255733801705,0.996709951442204,0.998620420415607,0.999782983266018,1.00056178215079,8281,0,1
"lik[38,3,12]",0.996301270180258,0.0063326870831536,0.979151587012811,0.995859463960984,0.998475475271212,0.999478273927034,0.999948198577623,1.00151104455593,9108,0,1
"lik[39,3,12]",0.986135108486827,0.012036688740244,0.953240010471358,0.981753438791128,0.989643228983749,0.994347151945414,0.998491871677634,1.00033091881677,6021,0,1
"lik[40,3,12]",0.986557815699359,0.0118220378295201,0.954144116192462,0.982310483396266,0.990028872187995,0.99458794009997,0.998570466171236,1.00032708236236,6089,0,1
"lik[41,3,12]",0.997774453700245,0.00839016581175142,0.982076051525658,0.998785467535947,0.999762888766246,0.999956289072683,0.999998831110282,1.01801801616019,7609,0,1
"lik[42,3,12]",0.997378412762815,0.00691299495512585,0.981160900944375,0.997849363403847,0.999430402272135,0.999859183006812,0.999993051720074,1.01182337574178,7899,0,1
"lik[43,3,12]",0.997466222080469,0.00705032331279046,0.981258057306519,0.99803078795795,0.999500099392024,0.99988131790541,0.999994496889194,1.01318747502932,7768,0,1
"lik[44,3,12]",0.997662794082206,0.00762019404273398,0.98179034568696,0.998462611580934,0.999661794453579,0.999928572106254,0.999997485558193,1.01654042516516,7523,0,1
"lik[45,3,12]",0.995677443035616,0.00695160040204474,0.976349570389944,0.995002556531763,0.998088650180148,0.999309350852124,0.999923018842591,1.00171434553021,8966,0,1
"lik[46,3,12]",0.994156602522682,0.00773686257745728,0.972391087145366,0.99273451154048,0.996816270492663,0.998674921592426,0.999795341068914,1.00059569689433,8341,0,1
"lik[47,3,12]",0.996698044954236,0.0062197754658766,0.980125715016307,0.996496636788278,0.998778861134603,0.999608944217282,0.999968046621744,1.00101188615509,11331,0,1
"lik[48,3,12]",0.997796251973491,0.00863772701996445,0.982123494019916,0.998859091365093,0.999785000166404,0.999961657191396,0.999999039763988,1.01845667084333,7547,0,1
"lik[49,3,12]",0.997779159191822,0.00859870711008234,0.981953183185647,0.998864458682044,0.999783270975008,0.999961657012288,0.999999062375004,1.0134081642312,9775,0,1
"lik[50,3,12]",0.99740272584702,0.00694653411300152,0.981147661085222,0.99789932402402,0.999449648822008,0.999865301216328,0.99999344893358,1.01218928679348,7862,0,1
"lik[1,1,13]",0.766833057302608,0.0824437980767087,0.586075299642596,0.714396751350953,0.774157019455902,0.826525355980376,0.905413429525794,0.999961999901378,30000,0,1
